id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NCF_213_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,1.208861947,1.302968144,1.137164593,0.696751893,1.615863442,2.127997398,2.02660203,0.758705258,1.516449094,2.582796335,2.400776148,1.68338871,1.442631602,4.926591396,3.98506403,5.659635544,1.516415,4.845008373,7.369746685,7.967294693,5.920436859,3.768744707,7.502759933,15.52595234,12.48397255,8.001522064,18.1084938,8.621317863,17.54215622,9.519377708,0.854775906,1.61222589,1.658740759,0.952416122,1.195603251,2.158233166,2.33485198,1.512298465,2.467152596,2.608895779,2.542874813,2.697477818,3.767089128,3.542512417,3.692819357,6.470060349,8.776010513,7.103088379,3.753728867,10.29039955,14.81487751,10.52711105,8.587539673,8.646699905,20.11462021,13.98077297,0.690550268,0.649641812,2.536694527,3.279000998,8.545669556,13.81162548
NCF_215_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,6.377129555,6.241617203,5.510647774,2.108502388,2.178355694,2.189411879,2.163746595,1.570130825,0.934242964,1.631559491,1.663719654,0.852827549,0.395896435,1.527333617,1.40807128,2.921174765,0.593951762,1.003098845,1.541952014,2.021125078,1.033014297,2.274643421,2.077958822,3.07545495,2.058486462,3.369782209,6.450298309,3.322845221,2.73071599,3.406250238,2.139435291,2.931967497,2.968084574,3.069262743,1.87644124,2.070894957,2.265849113,1.940724611,1.520645499,1.692625642,1.519662142,0.975617349,1.383931756,2.168379545,0.787476242,1.379549026,1.600925446,2.258575201,2.061267853,3.040446043,2.479638815,2.272226572,3.566524029,3.602256775,4.651941776,4.68888855,1.329484105,0.420689434,0.635254681,1.06569469,3.502163887,5.722551823
NCF_217_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,5.879946709,5.43563652,4.017781258,4.420599937,8.670508385,8.582707405,6.662074089,3.276780844,4.523512363,16.20840454,18.19250488,8.518065453,8.773061752,30.57052994,39.4498558,45.58638382,9.289275169,30.96683121,79.89679718,84.16119385,44.86388779,9.056568146,98.86174774,108.8679886,98.29254913,31.82088089,85.4532547,45.71678925,27.86640358,29.43318367,4.483232498,7.571694851,4.99703598,3.152677774,6.060943604,8.694024086,7.010872841,4.484547615,15.92602444,14.16927147,16.36139107,11.86159706,37.60291672,42.99736023,19.40882301,63.842659,79.20217896,69.28044128,65.31589508,118.7984543,94.64723969,76.5353775,44.91906738,113.0749817,85.48255157,65.11258698,4.490045547,5.778323174,8.822200775,16.11252594,44.65897369,32.45605087
NCF_220_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,1.989829183,2.335217953,3.076015472,6.078550339,3.681247473,4.045162678,4.681360722,3.304777145,5.392656803,5.087145805,5.180213451,4.492120266,5.878493309,6.962357044,7.291857243,7.837893486,2.791999102,6.54838562,14.75048542,15.23064327,11.3782835,9.932379723,27.8290596,39.04182053,30.65167046,20.65171432,35.32054138,16.72929955,10.93033028,11.27075291,2.873045683,2.986963272,4.011160374,3.462611198,3.710621834,3.827889442,4.673799515,4.069667339,4.684800148,4.807059765,5.191092968,5.32053566,7.806152821,6.967102051,5.92731142,13.19372463,18.13355446,13.60746193,20.28861237,35.20301056,33.63136673,31.26539993,36.24590302,38.72758865,30.26333046,21.70999146,6.902831078,3.332699776,3.046294689,4.999186039,19.65968323,21.69846916
NCF_221_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,0.150009453,0.168670416,0.15431571,0.110462397,0.26526168,0.267534852,0.208011225,0.18686384,0.201417714,0.326174974,0.242860302,0.096683763,,0.360955864,0.391760707,0.154383793,,0.258790612,0.504303396,0.363912106,0.223968804,0.754363418,0.544260561,0.800089359,0.932973444,0.87581706,,1.280193806,1.672204494,3.895168304,0.150676638,0.217207789,0.169775516,0.248343185,0.222260967,0.265639931,0.238875225,0.229205117,0.277470946,0.321428478,0.338290632,0.203542992,0.450544,0.239461765,,0.459845603,0.537842393,0.368129849,0.387804717,0.647680759,0.77089417,1.475262046,0.899927199,0.90057689,1.913482428,3.311096668,0.10941302,0.139972195,0.166389391,0.099056289,1.11150527,3.358298063
NCF_222_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,1.303023338,1.265396237,1.314821839,0.565038323,1.618305087,2.423095703,,0.615666866,0.356273204,,,0.906632721,1.04158771,3.053276062,,3.135425091,0.578459978,6.102597713,5.079794884,2.356767178,2.145389557,4.19528389,9.673211098,5.457825184,4.043072701,1.951475143,5.943811417,4.419671535,3.328568935,2.986706734,0.909806252,2.471045971,2.142386198,0.913487971,1.589441657,2.274071455,2.076484919,1.416833282,,,1.426852226,2.16075182,0.793912232,2.387546301,1.552866817,8.54313755,2.549034119,3.802561998,8.203134537,7.544082165,4.171844482,3.914395332,6.869371414,9.080370903,4.811971188,4.54845047,0.278159171,0.533360124,2.335802078,0.777039528,6.812824726,3.417684793
NCF_223_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,0.640572071,0.785676897,0.603602171,0.308361202,0.516470373,1.15101552,0.473615944,0.344514728,0.813875854,0.564134538,0.537745416,1.179555178,0.563390315,3.404210567,0.204977527,2.841915846,1.3481493,3.352054358,1.458374739,1.239755273,2.861169815,1.17361176,2.139594316,1.339180708,1.92864418,1.717777371,1.107108831,1.23403275,1.077269316,1.47012639,0.347662121,0.664428592,0.814057648,0.536171734,0.364007264,1.011867762,1.095179796,0.613274753,0.819110036,0.946441531,1.071699977,2.99055171,0.818297088,0.912188232,2.707199097,3.0888381,0.826006353,2.255330324,2.169916391,1.883243799,1.384220243,2.140736818,1.182101488,1.3302598,1.584162951,1.782149911,0.381911993,0.4643583,0.968945563,1.28328371,1.166677952,1.648277521
NCF_224_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,2.173624516,2.638885021,2.743691444,,,5.497840405,,2.074235439,1.017995,,6.726030827,3.185614824,0.465723217,3.743974209,6.172655582,5.186113358,1.302792549,2.324406862,4.399233341,6.784809589,2.859148979,2.445965528,4.78905344,10.02134991,5.1899333,1.499939561,7.37706089,1.94037509,1.83911109,1.627462506,1.521591306,,,1.793656707,1.548790336,,,1.824492931,,6.831099033,5.526369095,,4.377967834,5.892798424,2.858932257,4.181729794,7.343028545,5.471830845,5.52990818,9.942583084,11.69097519,4.063987255,4.200333118,4.218994141,5.154272079,4.087200165,,1.644629121,2.987053394,1.338160634,4.175352573,3.971994638
NCF_225_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,17.85742188,18.92947578,17.6698494,12.57818604,22.61815262,25.33062744,21.17231941,12.87755394,13.81441593,28.02525711,21.02511597,16.01637077,10.5615263,27.70900154,50.714077,51.94155884,10.43544579,17.94478035,111.3745575,112.5175476,38.62283325,29.71334076,121.5954208,125.2438354,88.99441528,43.55215836,90.50892639,32.9883194,87.38920593,53.46954346,14.4240303,21.56047058,20.92088509,17.54979324,17.1178875,22.91594315,23.39304352,14.39021969,20.68123055,28.04348373,24.48082542,12.22891808,49.54610443,52.95299149,20.84305,51.98768997,112.9851303,86.89948273,24.06075287,123.2899857,155.034729,85.18389893,37.63847351,89.0891037,88.40117645,85.75475311,9.922122955,8.327483177,15.91469765,28.68448639,37.2830925,82.22663116
NCF_226_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,3.482207537,3.736897945,4.710678101,4.667521477,7.130308151,5.141492367,6.883208275,6.501811028,4.739228725,5.261805534,8.777705193,7.463710308,3.476503611,7.767200947,10.12660217,15.94417381,8.288057327,7.052330494,17.4782753,28.48574829,23.9438324,9.774067879,20.33311272,37.46199417,40.66265488,30.63868332,35.2313118,17.62636757,14.36108589,14.37133312,4.293491364,4.86022234,5.689011574,5.108022213,5.644290924,5.793080807,6.025603294,6.425265789,6.416593552,5.949643612,9.218557358,5.371607304,9.062539101,14.5160532,11.75857639,13.00438118,24.07168961,28.75094986,15.71520233,26.96025467,42.33098221,42.18432999,22.82424355,25.99614716,39.62539291,33.14803696,4.462767601,5.72008419,5.297985077,13.46012592,22.63786697,20.33357048
